Time(sentisec);X_A(m);Y_A(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m);X_L(m);Y_L(m)
5799440.0;2993.7275;1851.3;3010.5697;1894.0316;2990.5779;1853.061;2989.6346;1853.5888;3004.0433;1852.0134;2987.7479;1850.1648;2982.5084;1845.3647;2998.4081;1862.5983
5799460.0;2992.647;1850.9885;3010.4235;1893.6236;2990.5364;1852.958;2989.5367;1853.5359;3004.0458;1852.0041;2987.5127;1850.1306;2982.4935;1845.4017;2998.3073;1862.3302
5799480.0;2991.5963;1850.712;3010.3674;1893.417;2990.4798;1852.8595;2989.4335;1853.483;3004.0525;1851.9953;2987.2331;1850.1254;2982.4832;1845.4109;2998.2338;1862.0756
5799500.0;2990.7163;1850.502;3010.3845;1893.3764;2990.414;1852.7737;2989.3464;1853.4449;3004.0688;1851.9844;2986.9416;1850.1209;2982.4578;1845.3975;2998.1674;1861.853
5799520.0;2990.0632;1850.3568;3010.4307;1893.4051;2990.3465;1852.7048;2989.2833;1853.4273;3004.0995;1851.9747;2986.6713;1850.0968;2982.377;1845.3735;2998.0642;1861.6485
5799540.0;2989.5969;1850.2538;3010.4612;1893.4016;2990.2829;1852.656;2989.2336;1853.4163;3004.1451;1851.9725;2986.4505;1850.0524;2982.2104;1845.3426;2997.8417;1861.3944
5799560.0;2989.2392;1850.1717;3010.452;1893.3076;2990.2272;1852.6342;2989.1756;1853.38;3004.2002;1851.9844;2986.2972;1849.997;2981.9671;1845.2919;2997.3828;1860.9798
5799580.0;2988.9437;1850.1033;3010.4097;1893.1327;2990.1824;1852.6468;2989.083;1853.2747;3004.2587;1852.0147;2986.2149;1849.9363;2981.695;1845.2062;2996.5844;1860.3017
5799600.0;2988.6934;1850.0457;3010.361;1892.9343;2990.1508;1852.6967;2988.9349;1853.0567;3004.3218;1852.0684;2986.1937;1849.8692;2981.4469;1845.0886;2995.4442;1859.3296
5799620.0;2988.4891;1849.9956;3010.3287;1892.7706;2990.132;1852.777;2988.7241;1852.6984;3004.4;1852.1522;2986.2203;1849.7964;2981.249;1844.9641;2994.1229;1858.165
5799640.0;2988.3424;1849.9503;3010.3132;1892.6536;2990.123;1852.8728;2988.4643;1852.2091;3004.5058;1852.2699;2986.2867;1849.7261;2981.0969;1844.8574;2992.873;1857.0102
5799660.0;2988.2566;1849.9068;3010.2913;1892.5383;2990.1207;1852.9684;2988.1868;1851.643;3004.6434;1852.4191;2986.389;1849.667;2980.9754;1844.7735;2991.8863;1856.0629
5799680.0;2988.2237;1849.8635;3010.2346;1892.3554;2990.1241;1853.0541;2987.9293;1851.0841;3004.8044;1852.5915;2986.5213;1849.6185;2980.8761;1844.6995;2991.212;1855.4216
5799700.0;2988.2278;1849.82;3010.1284;1892.0575;2990.1356;1853.1274;2987.7218;1850.6067;3004.9722;1852.7739;2986.6711;1849.5703;2980.802;1844.6189;2990.7922;1855.0668
5799720.0;2988.2467;1849.7752;3009.98;1891.6515;2990.1606;1853.1909;2987.5771;1850.2435;3005.1322;1852.9483;2986.8224;1849.509;2980.7624;1844.5242;2990.537;1854.9076
5799740.0;2988.2589;1849.7262;3009.8145;1891.198;2990.2035;1853.247;2987.493;1849.9846;3005.2761;1853.0912;2986.9651;1849.4261;2980.7645;1844.4183;2990.3647;1854.8417
5799760.0;2988.2505;1849.6711;3009.6617;1890.7761;2990.2659;1853.2997;2987.4604;1849.8034;3005.4026;1853.1805;2987.0933;1849.3201;2980.8053;1844.3102;2990.2184;1854.7964
5799780.0;2988.2216;1849.6107;3009.5419;1890.4407;2990.3453;1853.358;2987.4718;1849.6816;3005.5128;1853.2039;2987.2047;1849.1969;2980.8688;1844.2098;2990.0591;1854.7322
5799800.0;2988.1834;1849.5469;3009.4576;1890.2002;2990.4374;1853.4322;2987.5225;1849.6169;3005.6092;1853.1618;2987.2956;1849.0692;2980.9313;1844.1226;2989.876;1854.6414
5799820.0;2988.1484;1849.4822;3009.3968;1890.0274;2990.5347;1853.522;2987.6026;1849.6106;3005.6986;1853.0658;2987.3635;1848.9535;2980.972;1844.0478;2989.6715;1854.5332
5799840.0;2988.1218;1849.4192;3009.3431;1889.885;2990.6252;1853.6095;2987.6951;1849.6542;3005.792;1852.9353;2987.4094;1848.8627;2980.9802;1843.9818;2989.4526;1854.4253
5799860.0;2988.0988;1849.3619;3009.2812;1889.7368;2990.6952;1853.67;2987.7784;1849.7252;3005.8953;1852.7914;2987.437;1848.8017;2980.9564;1843.9243;2989.2289;1854.3359
5799880.0;2988.0695;1849.3167;3009.1999;1889.5531;2990.7358;1853.6901;2987.8339;1849.7957;3005.9989;1852.6496;2987.4484;1848.7699;2980.9085;1843.8807;2989.014;1854.2819
5799900.0;2988.0252;1849.2924;3009.0923;1889.3132;2990.748;1853.6733;2987.8504;1849.8413;3006.0808;1852.5163;2987.4439;1848.7647;2980.8444;1843.8594;2988.8301;1854.2858
5799920.0;2987.9632;1849.2965;3008.9576;1889.0098;2990.7419;1853.6288;2987.8291;1849.8501;3006.1219;1852.3898;2987.4242;1848.783;2980.7672;1843.865;2988.7099;1854.3814
5799940.0;2987.8877;1849.3315;3008.7998;1888.6495;2990.7304;1853.5626;2987.785;1849.8271;3006.1177;1852.2672;2987.3923;1848.8173;2980.6741;1843.8959;2988.6848;1854.5971
5799960.0;2987.8096;1849.3936;3008.6265;1888.2514;2990.7241;1853.4795;2987.7422;1849.7921;3006.0704;1852.1488;2987.3514;1848.8556;2980.5626;1843.9467;2988.7618;1854.925
5799980.0;2987.7439;1849.4744;3008.4517;1887.8464;2990.7281;1853.3872;2987.7207;1849.7676;3005.9814;1852.0401;2987.3032;1848.8864;2980.4359;1844.0109;2988.9045;1855.3037
5800000.0;2987.7047;1849.5662;3008.291;1887.4666;2990.7441;1853.2955;2987.7243;1849.7635;3005.8534;1851.9503;2987.2475;1848.9034;2980.302;1844.0822;2989.0474;1855.6479
5800020.0;2987.7003;1849.6644;3008.1519;1887.1263;2990.7741;1853.2088;2987.7431;1849.7737;3005.6995;1851.8864;2987.1859;1848.909;2980.1672;1844.1558;2989.1383;1855.8999
5800040.0;2987.7325;1849.7692;3008.0238;1886.8067;2990.8211;1853.1246;2987.7649;1849.7866;3005.5425;1851.8488;2987.1235;1848.913;2980.0316;1844.2313;2989.1733;1856.0581
5800060.0;2987.8018;1849.8834;3007.8814;1886.4665;2990.8816;1853.0387;2987.7845;1849.7955;3005.4041;1851.8309;2987.067;1848.928;2979.892;1844.3123;2989.1904;1856.1587
5800080.0;2987.9092;1850.0078;3007.7017;1886.0691;2990.9423;1852.9519;2987.8031;1849.7993;3005.2934;1851.8241;2987.0205;1848.9624;2979.7436;1844.4047;2989.2321;1856.2365
5800100.0;2988.0511;1850.1379;3007.4804;1885.6097;2990.9865;1852.8732;2987.82;1849.7989;3005.2058;1851.8224;2986.9834;1849.02;2979.5813;1844.5113;2989.3176;1856.3047
5800120.0;2988.2129;1850.2658;3007.2356;1885.1199;2991.0063;1852.8128;2987.8293;1849.7925;3005.1305;1851.8236;2986.953;1849.0988;2979.3986;1844.6287;2989.4368;1856.3562
5800140.0;2988.3731;1850.3862;3006.9952;1884.6469;2991.0063;1852.7741;2987.8234;1849.7746;3005.0605;1851.8291;2986.928;1849.1888;2979.1923;1844.7484;2989.5598;1856.3751
5800160.0;2988.515;1850.4997;3006.781;1884.2251;2990.9962;1852.7512;2987.799;1849.7373;3004.9996;1851.8433;2986.9066;1849.2678;2978.9666;1844.8626;2989.6515;1856.3499
5800180.0;2988.6344;1850.6103;3006.5996;1883.8647;2990.9832;1852.7333;2987.7597;1849.6749;3004.9587;1851.8725;2986.885;1849.308;2978.7351;1844.9714;2989.6867;1856.2823
5800200.0;2988.7385;1850.7205;3006.4459;1883.5595;2990.9701;1852.7121;2987.7145;1849.59;3004.9464;1851.9221;2986.8587;1849.2948;2978.5162;1845.0815;2989.6649;1856.1901
5800220.0;2988.8396;1850.829;3006.3135;1883.3053;2990.9568;1852.6864;2987.6727;1849.4938;3004.9608;1851.992;2986.829;1849.24;2978.3237;1845.1985;2989.6076;1856.0971
5800240.0;2988.9486;1850.9338;3006.202;1883.1053;2990.9409;1852.6619;2987.6406;1849.4008;3004.9887;1852.0744;2986.804;1849.1739;2978.1597;1845.3169;2989.5427;1856.0184
5800260.0;2989.0722;1851.0343;3006.1176;1882.9652;2990.9173;1852.6462;2987.618;1849.3206;3005.0135;1852.1548;2986.7941;1849.1263;2978.0141;1845.421;2989.4862;1855.9515
