Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
3844560.0;3031.2798;1878.3984;3032.1229;1879.8189;3034.6007;1875.2257;3030.4166;1875.0507;3033.155;1883.5441;3031.6754;1881.2768;3086.2199;1903.8376;3032.1821;1754.4042;3026.6754;1893.2501
3844580.0;3028.8745;1877.9002;3029.7717;1879.1473;3032.1377;1874.6562;3028.1539;1874.6698;3030.658;1882.9796;3029.2546;1880.7824;3077.2987;1902.6222;3034.0193;1755.8885;3023.6817;1892.3215
3844600.0;3026.4577;1877.2389;3027.4143;1878.2943;3029.665;1873.9409;3025.8986;1874.0995;3028.1227;1882.2065;3026.7786;1880.066;3065.0106;1900.9825;3035.7608;1757.4818;3020.3057;1891.1474
3844620.0;3024.042;1876.4346;3025.0574;1877.289;3027.1893;1873.0896;3023.6579;1873.3374;3025.565;1881.2574;3024.276;1879.1375;3050.0634;1898.8691;3037.4345;1759.179;3016.9008;1890.0515
3844640.0;3021.6341;1875.5141;3022.7015;1876.1582;3024.7141;1872.1132;3021.4339;1872.3961;3022.997;1880.1582;3021.7694;1878.0134;3034.6268;1896.283;3039.0702;1760.9798;3013.6142;1889.2063
3844660.0;3019.2356;1874.5043;3020.346;1874.9275;3022.2437;1871.0267;3019.2246;1871.3072;3020.4259;1878.9273;3019.2717;1876.7203;3021.3537;1893.2864;3040.691;1762.8834;3010.4267;1888.5878
3844680.0;3016.8443;1873.4257;3017.9941;1873.6206;3019.7866;1869.8493;3017.025;1870.1129;3017.8598;1877.5797;3016.7862;1875.2916;3011.7666;1890.0122;3042.3072;1764.8822;3007.3151;1888.0302
3844700.0;3014.4581;1872.2916;3015.6515;1872.256;3017.3569;1868.601;3014.8297;1868.852;3015.311;1876.134;3014.3128;1873.763;3005.639;1886.6382;3043.9184;1766.9618;3004.3295;1887.311
3844720.0;3012.0758;1871.1086;3013.3237;1870.8467;3014.9711;1867.2983;3012.6357;1867.5501;3012.7955;1874.6127;3011.8552;1872.166;3001.9129;1883.3608;3045.5182;1769.1076;3001.5532;1886.2399
3844740.0;3009.699;1869.8796;3011.0157;1869.4007;3012.6452;1865.9495;3010.4424;1866.2193;3010.3283;1873.0364;3009.4235;1870.5245;2999.4211;1880.2875;3047.1005;1771.3075;2999.0209;1884.7244
3844760.0;3007.3334;1868.6034;3008.7317;1867.9215;3010.3918;1864.552;3008.253;1864.8624;3007.921;1871.4196;3007.0336;1868.8494;2997.4461;1877.4531;3048.6603;1773.5527;2996.7203;1882.8028
3844780.0;3004.9896;1867.2754;3006.4806;1866.404;3008.2197;1863.0915;3006.0754;1863.477;3005.5836;1869.7699;3004.7029;1867.1362;2995.6272;1874.8452;3050.1886;1775.8394;2994.6081;1880.5985
3844800.0;3002.6857;1865.8832;3004.2813;1864.8311;3006.1339;1861.549;3003.9247;1862.0532;3003.3269;1868.0873;3002.4481;1865.367;2993.8045;1872.4394;3051.6628;1778.1714;2992.639;1878.2442
3844820.0;3000.4505;1864.4021;3002.1622;1863.1784;3004.1366;1859.9111;3001.8247;1860.57;3001.1632;1866.3625;3000.2837;1863.5224;2991.9432;1870.1958;3053.0462;1780.5563;2990.7757;1875.8333
3844840.0;2998.3197;1862.8003;3000.1488;1861.4272;3002.2265;1858.1778;2999.8034;1858.9978;2999.1022;1864.5782;2998.2193;1861.596;2990.0497;1868.0657;3054.3023;1782.9942;2988.9831;1873.4269
