Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229000.0;3002.4701;1846.8261;2993.5368;1856.1479;2995.8571;1849.8055;2988.1287;1857.7623;3026.5204;1927.8954;2996.0456;1847.0551;2995.3368;1845.6154;3004.6551;1841.4671;2992.3477;1850.9372;3008.9844;1873.2239
2229000.0;3002.4701;1846.8261;2993.5368;1856.1479;2995.8571;1849.8055;2988.1287;1857.7623;3026.5204;1927.8954;2996.0456;1847.0551;2995.3368;1845.6154;3004.6551;1841.4671;2992.3477;1850.9372;3008.9844;1873.2239
2229020.0;3002.4835;1846.9293;2993.6001;1856.0063;2995.8759;1849.673;2988.0235;1857.848;3025.3316;1923.677;2995.9851;1847.1076;2995.061;1845.5855;3004.6246;1841.4773;2992.353;1850.763;3009.0601;1873.3325
2229020.0;3002.4835;1846.9293;2993.6001;1856.0063;2995.8759;1849.673;2988.0235;1857.848;3025.3316;1923.677;2995.9851;1847.1076;2995.061;1845.5855;3004.6246;1841.4773;2992.353;1850.763;3009.0601;1873.3325
2229040.0;3002.4997;1847.0178;2993.6654;1855.9135;2995.8885;1849.5312;2987.9341;1857.9081;3023.7099;1918.374;2995.928;1847.1694;2994.8628;1845.5742;3004.595;1841.4816;2992.375;1850.4872;3009.1358;1873.441
2229040.0;3002.4997;1847.0178;2993.6654;1855.9135;2995.8885;1849.5312;2987.9341;1857.9081;3023.7099;1918.374;2995.928;1847.1694;2994.8628;1845.5742;3004.595;1841.4816;2992.375;1850.4872;3009.1358;1873.441
2229060.0;3002.5156;1847.0826;2993.7337;1855.8677;2995.9014;1849.3791;2987.863;1857.9398;3021.6759;1912.1558;2995.878;1847.2344;2994.7629;1845.5817;3004.5684;1841.4769;2992.4123;1850.1134;3009.2115;1873.5496
2229060.0;3002.5156;1847.0826;2993.7337;1855.8677;2995.9014;1849.3791;2987.863;1857.9398;3021.6759;1912.1558;2995.878;1847.2344;2994.7629;1845.5817;3004.5684;1841.4769;2992.4123;1850.1134;3009.2115;1873.5496
2229080.0;3002.5283;1847.1236;2993.806;1855.8535;2995.9211;1849.2157;2987.8123;1857.9348;3019.3538;1905.3908;2995.8361;1847.2956;2994.7513;1845.6024;3004.5445;1841.4652;2992.4597;1849.6628;3009.2872;1873.6582
2229080.0;3002.5283;1847.1236;2993.806;1855.8535;2995.9211;1849.2157;2987.8123;1857.9348;3019.3538;1905.3908;2995.8361;1847.2956;2994.7513;1845.6024;3004.5445;1841.4652;2992.4597;1849.6628;3009.2872;1873.6582
2229100.0;3002.5383;1847.1488;2993.8816;1855.8497;2995.9519;1849.043;2987.7836;1857.8825;3016.9156;1898.4522;2995.7976;1847.3494;2994.7976;1845.6245;3004.5201;1841.4503;2992.508;1849.1702;3009.3628;1873.7668
2229100.0;3002.5383;1847.1488;2993.8816;1855.8497;2995.9519;1849.043;2987.7836;1857.8825;3016.9156;1898.4522;2995.7976;1847.3494;2994.7976;1845.6245;3004.5201;1841.4503;2992.508;1849.1702;3009.3628;1873.7668
2229120.0;3002.5492;1847.1678;2993.9579;1855.843;2995.9933;1848.8651;2987.7754;1857.7778;3014.5066;1891.5538;2995.7505;1847.3989;2994.8721;1845.6364;3004.4912;1841.4321;2992.5485;1848.6752;3009.4385;1873.8753
2229120.0;3002.5492;1847.1678;2993.9579;1855.843;2995.9933;1848.8651;2987.7754;1857.7778;3014.5066;1891.5538;2995.7505;1847.3989;2994.8721;1845.6364;3004.4912;1841.4321;2992.5485;1848.6752;3009.4385;1873.8753
2229140.0;3002.5657;1847.1845;2994.0339;1855.8326;2996.0409;1848.6871;2987.7806;1857.6256;3012.2388;1884.7493;2995.6811;1847.4495;2994.9536;1845.6331;3004.4567;1841.4065;2992.5796;1848.2165;3009.5142;1873.9839
2229140.0;3002.5657;1847.1845;2994.0339;1855.8326;2996.0409;1848.6871;2987.7806;1857.6256;3012.2388;1884.7493;2995.6811;1847.4495;2994.9536;1845.6331;3004.4567;1841.4065;2992.5796;1848.2165;3009.5142;1873.9839
2229160.0;3002.5883;1847.2;2994.1115;1855.8217;2996.0892;1848.5148;2987.7872;1857.4427;3010.2689;1878.1448;2995.5837;1847.5046;2995.0254;1845.6184;3004.4181;1841.3692;2992.606;1847.8252;3009.5899;1874.0925
2229160.0;3002.5883;1847.2;2994.1115;1855.8217;2996.0892;1848.5148;2987.7872;1857.4427;3010.2689;1878.1448;2995.5837;1847.5046;2995.0254;1845.6184;3004.4181;1841.3692;2992.606;1847.8252;3009.5899;1874.0925
2229180.0;3002.6136;1847.2152;2994.1953;1855.805;2996.1347;1848.3534;2987.7855;1857.2517;3008.7365;1871.8319;2995.4656;1847.5634;2995.0703;1845.5973;3004.3775;1841.3185;2992.6338;1847.5129;3009.6656;1874.2011
2229180.0;3002.6136;1847.2152;2994.1953;1855.805;2996.1347;1848.3534;2987.7855;1857.2517;3008.7365;1871.8319;2995.4656;1847.5634;2995.0703;1845.5973;3004.3775;1841.3185;2992.6338;1847.5129;3009.6656;1874.2011
2229200.0;3002.634;1847.2325;2994.2891;1855.7686;2996.1754;1848.2042;2987.7732;1857.0709;3007.6848;1865.9884;2995.3427;1847.6225;2995.0756;1845.5684;3004.3358;1841.2547;2992.6673;1847.2673;3009.7413;1874.3097
2229200.0;3002.634;1847.2325;2994.2891;1855.7686;2996.1754;1848.2042;2987.7732;1857.0709;3007.6848;1865.9884;2995.3427;1847.6225;2995.0756;1845.5684;3004.3358;1841.2547;2992.6673;1847.2673;3009.7413;1874.3097
2229220.0;3002.6408;1847.2537;2994.3926;1855.7035;2996.2096;1848.064;2987.7563;1856.906;3007.0208;1860.8812;2995.2315;1847.6769;2995.0399;1845.5244;3004.2929;1841.1794;2992.7096;1847.0609;3009.817;1874.4182
2229220.0;3002.6408;1847.2537;2994.3926;1855.7035;2996.2096;1848.064;2987.7563;1856.906;3007.0208;1860.8812;2995.2315;1847.6769;2995.0399;1845.5244;3004.2929;1841.1794;2992.7096;1847.0609;3009.817;1874.4182
2229240.0;3002.627;1847.2782;2994.5007;1855.617;2996.2357;1847.93;2987.7428;1856.7511;3006.5742;1856.8069;2995.1409;1847.7228;2994.9739;1845.4585;3004.2477;1841.0993;2992.7624;1846.8645;3009.8927;1874.5268
2229240.0;3002.627;1847.2782;2994.5007;1855.617;2996.2357;1847.93;2987.7428;1856.7511;3006.5742;1856.8069;2995.1409;1847.7228;2994.9739;1845.4585;3004.2477;1841.0993;2992.7624;1846.8645;3009.8927;1874.5268
2229260.0;3002.5913;1847.3041;2994.6076;1855.531;2996.2531;1847.8064;2987.7375;1856.6;3006.1949;1853.9346;2995.0704;1847.7615;2994.8897;1845.3681;3004.2;1841.0272;2992.8253;1846.6592;3009.9683;1874.6354
2229260.0;3002.5913;1847.3041;2994.6076;1855.531;2996.2531;1847.8064;2987.7375;1856.6;3006.1949;1853.9346;2995.0704;1847.7615;2994.8897;1845.3681;3004.2;1841.0272;2992.8253;1846.6592;3009.9683;1874.6354
2229280.0;3002.5421;1847.3298;2994.7109;1855.4674;2996.2649;1847.7036;2987.7373;1856.4597;3005.8158;1852.175;2995.0131;1847.7992;2994.7937;1845.2528;3004.1524;1840.9776;2992.8941;1846.4383;3010.044;1874.744
2229280.0;3002.5421;1847.3298;2994.7109;1855.4674;2996.2649;1847.7036;2987.7373;1856.4597;3005.8158;1852.175;2995.0131;1847.7992;2994.7937;1845.2528;3004.1524;1840.9776;2992.8941;1846.4383;3010.044;1874.744
2229300.0;3002.4939;1847.354;2994.8143;1855.4326;2996.2764;1847.6301;2987.731;1856.352;3005.4503;1851.2232;2994.9607;1847.8424;2994.6887;1845.114;3004.1104;1840.9613;2992.9642;1846.2059;3010.1197;1874.8525
2229300.0;3002.4939;1847.354;2994.8143;1855.4326;2996.2764;1847.6301;2987.731;1856.352;3005.4503;1851.2232;2994.9607;1847.8424;2994.6887;1845.114;3004.1104;1840.9613;2992.9642;1846.2059;3010.1197;1874.8525
2229320.0;3002.4594;1847.3776;2994.9251;1855.4162;2996.2927;1847.5847;2987.7063;1856.3009;3005.1662;1850.7323;2994.9073;1847.8932;2994.5834;1844.9552;3004.0797;1840.9832;2993.0333;1845.9706;3010.1954;1874.9611
2229320.0;3002.4594;1847.3776;2994.9251;1855.4162;2996.2927;1847.5847;2987.7063;1856.3009;3005.1662;1850.7323;2994.9073;1847.8932;2994.5834;1844.9552;3004.0797;1840.9832;2993.0333;1845.9706;3010.1954;1874.9611
2229340.0;3002.4425;1847.4014;2995.0483;1855.4029;2996.3151;1847.5578;2987.6586;1856.3171;3005.0451;1850.4536;2994.851;1847.9488;2994.4947;1844.7825;3004.0637;1841.0425;2993.1026;1845.7469;3010.2711;1875.0697
