Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1677480.0;3001.2328;1851.3145;3000.8074;1851.7146;3000.7953;1851.8871;2999.9835;1857.1013;3000.6948;1854.6771;3002.0543;1851.7108;2995.7601;1852.3607
1677500.0;3001.2552;1851.3416;3000.7178;1851.8067;3000.8306;1851.8216;2999.929;1857.1104;3000.6381;1854.7981;3002.0624;1851.6715;2995.7551;1852.3238
1677520.0;3001.2721;1851.3744;3000.6367;1851.8926;3000.8619;1851.7584;2999.8729;1857.1036;3000.5696;1854.9176;3002.0846;1851.6495;2995.7454;1852.2701
1677540.0;3001.2858;1851.4024;3000.5724;1851.9655;3000.8854;1851.7163;2999.8119;1857.0748;3000.4912;1855.0398;3002.119;1851.6369;2995.7311;1852.2049
1677560.0;3001.3044;1851.412;3000.5238;1852.0261;3000.9023;1851.7059;2999.743;1857.0255;3000.4078;1855.1641;3002.1604;1851.6258;2995.7146;1852.1391
1677580.0;3001.338;1851.3924;3000.4845;1852.0794;3000.9178;1851.7266;2999.6652;1856.9596;3000.3274;1855.2829;3002.2004;1851.6092;2995.6974;1852.0835
1677600.0;3001.3945;1851.3397;3000.4502;1852.1267;3000.9387;1851.7689;2999.5789;1856.8801;3000.2578;1855.3865;3002.2303;1851.5842;2995.6765;1852.045
1677620.0;3001.473;1851.2615;3000.4225;1852.1647;3000.9699;1851.8224;2999.4834;1856.7913;3000.2028;1855.4696;3002.2451;1851.5529;2995.644;1852.0238
1677640.0;3001.564;1851.1737;3000.4072;1852.1898;3001.0114;1851.8789;2999.3771;1856.7029;3000.1602;1855.5343;3002.2473;1851.5215;2995.5934;1852.0171
1677660.0;3001.6553;1851.0934;3000.4079;1852.203;3001.0593;1851.9334;2999.2596;1856.629;3000.1253;1855.5873;3002.2486;1851.4968;2995.5248;1852.0226
1677680.0;3001.7394;1851.0303;3000.4214;1852.2089;3001.1088;1851.9843;2999.1329;1856.5821;3000.0949;1855.6332;3002.2658;1851.4813;2995.443;1852.0406
1677700.0;3001.8171;1850.9854;3000.4371;1852.2114;3001.1579;1852.0335;2999.0028;1856.5663;3000.0701;1855.6711;3002.312;1851.4736;2995.3531;1852.0717
1677720.0;3001.8933;1850.9565;3000.4433;1852.2151;3001.2079;1852.0834;2998.8793;1856.5729;3000.0564;1855.6948;3002.3871;1851.4706;2995.2579;1852.1135
1677740.0;3001.9706;1850.9445;3000.4363;1852.2231;3001.2614;1852.1342;2998.7732;1856.5834;3000.0616;1855.6956;3002.4763;1851.4697;2995.1581;1852.1613
1677760.0;3002.045;1850.9529;3000.4186;1852.2404;3001.3195;1852.1837;2998.6911;1856.5777;3000.0975;1855.6601;3002.5602;1851.4695;2995.0529;1852.212
1677780.0;3002.1077;1850.9828;3000.3937;1852.2739;3001.3817;1852.2316;2998.6337;1856.5425;3000.18;1855.5668;3002.6258;1851.4695;2994.9417;1852.2672
1677800.0;3002.1541;1851.0308;3000.3613;1852.3326;3001.4472;1852.279;2998.5974;1856.4744;3000.3247;1855.3914;3002.6704;1851.4695;2994.8283;1852.3302
1677820.0;3002.1882;1851.0922;3000.3207;1852.4199;3001.5152;1852.326;2998.5768;1856.3785;3000.5336;1855.1258;3002.6949;1851.4699;2994.722;1852.4019
1677840.0;3002.2194;1851.163;3000.2751;1852.5273;3001.5835;1852.3716;2998.5645;1856.2652;3000.7863;1854.795;3002.6995;1851.4713;2994.6331;1852.4792
1677860.0;3002.2557;1851.2416;3000.229;1852.636;3001.6472;1852.4168;2998.5552;1856.1469;3001.044;1854.4518;3002.6845;1851.4758;2994.5662;1852.5555
1677880.0;3002.3013;1851.3245;3000.1839;1852.7307;3001.6978;1852.465;2998.554;1856.0359;3001.2694;1854.1452;3002.6542;1851.4867;2994.5179;1852.6237
1677900.0;3002.3585;1851.4083;3000.136;1852.8078;3001.7267;1852.5212;2998.5808;1855.9411;3001.4457;1853.8931;3002.6176;1851.5069;2994.4807;1852.6773
1677920.0;3002.4296;1851.4914;3000.0801;1852.8725;3001.7286;1852.5895;2998.6676;1855.8687;3001.5791;1853.6834;3002.584;1851.5362;2994.4495;1852.7135
1677940.0;3002.5148;1851.5731;3000.0134;1852.9326;3001.7061;1852.6725;2998.8561;1855.8245;3001.6861;1853.4951;3002.5579;1851.57;2994.4239;1852.7339
