Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
1877820.0;3012.5772;1886.99;3009.8728;1893.7191;3013.2704;1889.113;3015.4093;1888.0031;3012.2738;1882.044;3011.0842;1881.5469;3013.1768;1886.5464;3010.9675;1887.2366;3013.7616;1887.4855;3012.0099;1889.6765
1877840.0;3012.6339;1888.9489;3009.9264;1894.39;3013.2825;1891.248;3015.7844;1890.0153;3012.0301;1884.0192;3010.8735;1883.5789;3013.3007;1888.6968;3010.9675;1889.2195;3014.032;1889.5205;3012.1244;1891.6836
1877860.0;3012.4344;1890.915;3009.9771;1895.287;3013.1034;1893.3696;3015.9652;1892.0424;3011.5732;1885.9863;3010.501;1885.6172;3013.1958;1890.846;3010.7591;1891.2005;3014.0839;1891.5736;3011.9885;1893.6997
1877880.0;3011.9788;1892.8626;3010.0017;1896.4146;3012.7241;1895.4559;3015.936;1894.0763;3010.9271;1887.9359;3009.973;1887.6364;3012.8586;1892.9719;3010.3411;1893.1692;3013.9188;1893.6224;3011.6099;1895.7058
1877900.0;3011.2726;1894.7607;3009.9639;1897.7242;3012.1366;1897.4873;3015.6845;1896.1087;3010.1104;1889.8589;3009.289;1889.6128;3012.289;1895.0532;3009.7169;1895.1099;3013.5386;1895.6485;3011.005;1897.685
1877920.0;3010.3289;1896.5778;3009.8197;1899.1278;3011.335;1899.4453;3015.2047;1898.1278;3009.1381;1891.7412;3008.4436;1891.5284;3011.491;1897.0707;3008.8949;1897.0006;3012.9507;1897.6389;3010.1929;1899.6192
1877940.0;3009.166;1898.2868;3009.538;1900.5197;3010.316;1901.3109;3014.4956;1900.1157;3008.0211;1893.5631;3007.4292;1893.3696;3010.4753;1899.0093;3007.8869;1898.8185;3012.1658;1899.5826;3009.1905;1901.49
1877960.0;3007.8033;1899.8682;3009.1112;1901.8013;3009.0787;1903.0649;3013.5613;1902.0491;3006.7664;1895.3042;3006.2406;1895.1262;3009.2588;1900.8595;3006.7063;1900.5506;3011.1965;1901.4659;3008.0072;1903.2792
1877980.0;3006.2573;1901.3089;3008.5432;1902.8917;3007.6256;1904.6925;3012.4108;1903.9024;3005.3748;1896.9493;3004.8779;1896.7917;3007.8618;1902.6173;3005.365;1902.194;3010.0541;1903.2732;3006.6464;1904.9688
1878000.0;3004.5419;1902.6027;3007.8161;1903.7901;3005.9633;1906.1854;3011.0579;1905.6537;3003.8443;1898.4916;3003.348;1898.3631;3006.3014;1904.2782;3003.8722;1903.7497;3008.7486;1904.9908;3005.1081;1906.5392
1878020.0;3002.6704;1903.7489;3006.8736;1904.5841;3004.1031;1907.54;3009.5179;1907.2887;3002.1732;1899.9276;3001.6604;1899.8345;3004.589;1905.8332;3002.2323;1905.2109;3007.2848;1906.6086;3003.3951;1907.9701
1878040.0;3000.6578;1904.7503;3005.6463;1905.4074;3002.0608;1908.7496;3007.8059;1908.8028;3000.3619;1901.2513;2999.8243;1901.1934;3002.7297;1907.2673;3000.4466;1906.5587;3005.6623;1908.1167;3001.5143;1909.2429
1878060.0;2998.5186;1905.6078;3004.1003;1906.3499;2999.8563;1909.7988;3005.9361;1910.1968;2998.4133;1902.4488;2997.8468;1902.4189;3000.7248;1908.5615;2998.5151;1907.764;3003.8776;1909.4992;2999.4774;1910.345
1878080.0;2996.2656;1906.3189;3002.2562;1907.4004;2997.5122;1910.6659;3003.9235;1911.469;2996.3326;1903.4993;2995.7365;1903.4887;2998.5732;1909.6941;2996.4412;1908.7963;3001.9297;1910.7344;2997.2968;1911.2705
1878100.0;2993.9104;1906.8798;3000.1706;1908.4672;2995.051;1911.3325;3001.7812;1912.607;2994.1287;1904.3786;2993.5039;1904.3836;2996.2758;1910.6433;2994.2331;1909.6316;2999.8213;1911.7976;2994.9837;1912.0199
1878120.0;2991.4659;1907.2904;2997.9066;1909.4418;2992.4944;1911.7928;2999.5199;1913.5896;2991.8133;1905.0654;2991.1628;1905.0928;2993.8393;1911.3915;2991.9051;1910.2585;2997.559;1912.6674;2992.5487;1912.5972
1878140.0;2988.9463;1907.5551;2995.5127;1910.2537;2989.8623;1912.0549;2997.1468;1914.396;2989.3991;1905.5461;2988.728;1905.6155;2991.2803;1911.9308;2989.4744;1910.6774;2995.1538;1913.3282;2990.0051;1913.0076
1878160.0;2986.3681;1907.6823;2993.0146;1910.8879;2987.1746;1912.134;2994.6683;1915.015;2986.8999;1905.8188;2986.2153;1905.9605;2988.6232;1912.2656;2986.9584;1910.8983;2992.6227;1913.772;2987.372;1913.2536
1878180.0;2983.7487;1907.6799;2990.4248;1911.3639;2984.4505;1912.0461;2992.0919;1915.4447;2984.3326;1905.8937;2983.6416;1906.1396;2985.8958;1912.4142;2984.3735;1910.9352;2989.9907;1913.9947;2984.6732;1913.3358
1878200.0;2981.1049;1907.5541;2987.7558;1911.7067;2981.7056;1911.8051;2989.4275;1915.6901;2981.7175;1905.7916;2981.0249;1906.1622;2983.1242;1912.4055;2981.7377;1910.8016;2987.2893;1913.9927;2981.9325;1913.2538
1878220.0;2978.4505;1907.3069;2985.034;1911.9206;2978.9515;1911.4243;2986.6883;1915.7597;2979.0756;1905.537;2978.3844;1906.0324;2980.3307;1912.2739;2979.0712;1910.5066;2984.5527;1913.7597;2979.1705;1913.0088
1878240.0;2975.7962;1906.9368;2982.2959;1911.9893;2976.1956;1910.9141;2983.891;1915.6641;2976.4249;1905.152;2975.7394;1905.7514;2977.5331;1912.049;2976.3961;1910.0532;2981.8122;1913.2913;2976.4043;1912.6024
1878260.0;2973.1524;1906.4391;2979.5737;1911.8923;2973.4437;1910.2818;2981.0549;1915.4088;2973.7813;1904.6498;2973.1067;1905.3212;2974.7454;1911.7487;2973.7306;1909.4394;2979.0902;1912.5904;2973.6483;1912.0366
1878280.0;2970.5329;1905.8095;2976.8843;1911.6203;2970.7028;1909.5312;2978.1996;1914.9893;2971.161;1904.0332;2970.5001;1904.7459;2971.9777;1911.3737;2971.0866;1908.6654;2976.3996;1911.6712;2970.9134;1911.3146
1878300.0;2967.9548;1905.0445;2974.2311;1911.1758;2967.9822;1908.6633;2975.3442;1914.3912;2968.581;1903.2949;2967.9308;1904.0284;2969.2368;1910.9104;2968.4713;1907.7381;2973.7456;1910.5535;2968.2067;1910.4432
1878320.0;2965.4352;1904.1416;2971.6121;1910.5615;2965.2933;1907.6747;2972.5074;1913.5986;2966.0567;1902.4242;2965.4079;1903.1703;2966.5272;1910.3334;2965.8903;1906.6724;2971.1307;1909.2569;2965.534;1909.4307
1878340.0;2962.9901;1903.0972;2969.029;1909.774;2962.6479;1906.5562;2969.7076;1912.6006;2963.6011;1901.4118;2962.9396;1902.1726;2963.8536;1909.6105;2963.3489;1905.4822;2968.5573;1907.7982;2962.9035;1908.2829
1878360.0;2960.6322;1901.9061;2966.4936;1908.8122;2960.0576;1905.2922;2966.9613;1911.3976;2961.225;1900.2562;2960.5329;1901.0378;2961.2227;1908.7072;2960.8516;1904.1735;2966.0286;1906.1958;2960.3272;1906.9971
1878380.0;2958.3698;1900.5608;2964.0247;1907.6878;2957.5341;1903.8651;2964.2808;1910.0002;2958.938;1898.9622;2958.1934;1899.7686;2958.6439;1907.5943;2958.403;1902.7412;2963.5475;1904.4716;2957.8175;1905.5634
1878400.0;2956.2046;1899.0533;2961.6404;1906.4241;2955.0901;1902.2593;2961.6741;1908.423;2956.7461;1897.5368;2955.9238;1898.368;2956.13;1906.2516;2956.0102;1901.1743;2961.1168;1902.6503;2955.385;1903.9678
1878420.0;2954.1341;1897.3771;2959.348;1905.0385;2952.7392;1900.4674;2959.1474;1906.6758;2954.6498;1895.9848;2953.7244;1896.8395;2953.6947;1904.6709;2953.6834;1899.4592;2958.7418;1900.7523;2953.0387;1902.1996
1878440.0;2952.1556;1895.5304;2957.1418;1903.5234;2950.4931;1898.4938;2956.7089;1904.7598;2952.6439;1894.3103;2951.5937;1895.1868;2951.3523;1902.8534;2951.4349;1897.5848;2956.4304;1898.7907;2950.7895;1900.2536
1878460.0;2950.2717;1893.5165;2955.0114;1901.8482;2948.3593;1896.3547;2954.3713;1902.6729;2950.7218;1892.52;2949.5338;1893.4087;2949.1153;1900.8078;2949.2773;1895.5441;2954.1938;1896.7676;2948.6496;1898.1313
1878480.0;2948.4913;1891.3428;2952.9532;1899.9792;2946.3392;1894.0752;2952.1521;1900.4177;2948.8812;1890.6227;2947.5539;1891.4957;2946.994;1898.5476;2947.2208;1893.3381;2952.0456;1894.675;2946.631;1895.8392
1878500.0;2946.8298;1889.0176;2950.9755;1897.9035;2944.4308;1891.6818;2950.0721;1898.0028;2947.1278;1888.6194;2945.6707;1889.4332;2944.9963;1896.092;2945.2727;1890.9764;2950.0043;1892.4954;2944.7407;1893.3872
1878520.0;2945.304;1886.5485;2949.0942;1895.6371;2942.6321;1889.1942;2948.1506;1895.4391;2945.4741;1886.4992;2943.9047;1887.2102;2943.1287;1893.4646;2943.439;1888.4745;2948.0922;1890.2076;2942.9818;1890.7875
1878540.0;2943.93;1883.9422;2947.3249;1893.2133;2940.9465;1886.6179;2946.4015;1892.7355;2943.9368;1884.2437;2942.2751;1884.8253;2941.3956;1890.6924;2941.7276;1885.8472;2946.3325;1887.7943;2941.3559;1888.0546
1878560.0;2942.7194;1881.2088;2945.6796;1890.6583;2939.385;1883.9454;2944.8306;1889.8994;2942.5313;1881.8405;2940.7968;1882.2877;2939.7989;1887.7996;2940.1502;1883.1034;2944.7435;1885.2481;2939.8666;1885.204
1878580.0;2941.6797;1878.3633;2944.17;1887.9776;2937.9652;1881.1644;2943.4397;1886.9397;2941.27;1879.2907;2939.4816;1879.6144;2938.3354;1884.8058;2938.722;1880.2468;2943.3374;1882.573;2938.5193;1882.2501
1878600.0;2940.8146;1875.4258;2942.8096;1885.1619;2936.7061;1878.2677;2942.2298;1883.8696;2940.1607;1876.6071;2938.3391;1876.8268;2936.9998;1881.7252;2937.4576;1877.2827;2942.1211;1879.7799;2937.3216;1879.2041
1878620.0;2940.1258;1872.4184;2941.6109;1882.2057;2935.6249;1875.2572;2941.2054;1880.7058;2939.2095;1873.8073;2937.3786;1873.9468;2935.7881;1878.568;2936.3687;1874.226;2941.0997;1876.8829;2936.2805;1876.0765
1878640.0;2939.6117;1869.3635;2940.5766;1879.1218;2934.7371;1872.143;2940.3736;1877.4671;2938.422;1870.9083;2936.6092;1870.9958;2934.7025;1875.3398;2935.4633;1871.102;2940.2752;1873.8986;2935.404;1872.8814
1878660.0;2939.2659;1866.2836;2939.6966;1875.939;2934.0561;1868.943;2939.7434;1874.1714;2937.8049;1867.9269;2936.0396;1867.9926;2933.7521;1872.0436;2934.7472;1867.9373;2939.6443;1870.8476;2934.6992;1869.6383
1878680.0;2939.0763;1863.2005;2938.9549;1872.6898;2933.5911;1865.681;2939.3212;1870.8369;2937.3624;1864.8808;2935.675;1864.953;2932.9512;1868.6825;2934.2256;1864.7523;2939.1946;1867.7547;2934.173;1866.3656
1878700.0;2939.0302;1860.1314;2938.3429;1869.3999;2933.3422;1862.383;2939.1068;1867.4823;2937.0942;1861.7886;2935.514;1861.8882;2932.314;1865.264;2933.9038;1861.5586;2938.905;1864.6464;2933.8291;1863.075
1878720.0;2939.1176;1857.0848;2937.8676;1866.0865;2933.2978;1859.0717;2939.0893;1864.1271;2936.9932;1858.6679;2935.5463;1858.8065;2931.852;1861.8008;2933.7836;1858.3626;2938.7501;1861.5458;2933.668;1859.7708
1878740.0;2939.331;1854.0599;2937.5475;1862.7624;2933.4389;1855.7646;2939.2482;1860.7879;2937.05;1855.5319;2935.7565;1855.7162;2931.5717;1858.3076;2933.8592;1855.1669;2938.7084;1858.4673;2933.6851;1856.4552
1878760.0;2939.6616;1851.0525;2937.4037;1859.4405;2933.7449;1852.4754;2939.5588;1857.474;2937.256;1852.3891;2936.1269;1852.6265;2931.4762;1854.797;2934.1166;1851.9724;2938.7682;1855.4134;2933.8715;1853.1321
1878780.0;2940.0985;1848.0612;2937.4522;1856.1376;2934.1975;1849.214;2939.9974;1854.1863;2937.6051;1849.2444;2936.6406;1849.5451;2931.5646;1851.2784;2934.5376;1848.78;2938.9278;1852.3736;2934.2139;1849.8079
1878800.0;2940.6282;1845.088;2937.6995;1852.8733;2934.7813;1845.9851;2940.5427;1850.9196;2938.0917;1846.1029;2937.2813;1846.4748;2931.835;1847.759;2935.1031;1845.593;2939.1901;1849.3288;2934.6988;1846.4901
1878820.0;2941.237;1842.1338;2938.1438;1849.665;2935.4854;1842.787;2941.1742;1847.6667;2938.71;1842.9713;2938.0353;1843.4153;2932.2853;1844.2456;2935.7951;1842.4148;2939.5576;1846.258;2935.3132;1843.1841
1878840.0;2941.9106;1839.1939;2938.7739;1846.5212;2936.3017;1839.6132;2941.8706;1844.4213;2939.4532;1839.8572;2938.892;1840.3666;2932.9157;1840.7469;2936.5956;1839.247;2940.0291;1843.1473;2936.046;1839.8915
1878860.0;2942.6391;1836.2645;2939.5681;1843.4386;2937.2245;1836.4557;2942.6159;1841.1815;2940.3141;1836.7672;2939.845;1837.3333;2933.7259;1837.2728;2937.4896;1836.09;2940.6005;1839.9962;2936.8873;1836.6128
1878880.0;2943.4202;1833.3514;2940.4993;1840.4063;2938.248;1833.3109;2943.405;1837.951;2941.2853;1833.7061;2940.8896;1834.3238;2934.714;1833.833;2938.4693;1832.9468;2941.266;1836.819;2937.8301;1833.3522
1878900.0;2944.2635;1830.471;2941.5443;1837.4131;2939.3662;1830.1826;2944.2496;1834.7403;2942.3607;1830.679;2942.0228;1831.3482;2935.8738;1830.4354;2939.5378;1829.8265;2942.0204;1833.6408;2938.8739;1830.1211
1878920.0;2945.1904;1827.6398;2942.6922;1834.455;2940.5756;1827.0831;2945.1794;1831.5663;2943.5363;1827.6901;2943.2429;1828.417;2937.1993;1827.0871;2940.706;1826.7449;2942.861;1830.4883;2940.0277;1826.9349
1878940.0;2946.2298;1824.8607;2943.9456;1831.5404;2941.8788;1824.0303;2946.2375;1828.453;2944.8133;1824.7434;2944.5526;1825.5404;2938.6856;1823.7979;2941.9894;1823.723;2943.7925;1827.3824;2941.308;1823.808
1878960.0;2947.408;1822.1214;2945.3144;1828.691;2943.2872;1821.0423;2947.4648;1825.4267;2946.1981;1821.8455;2945.9574;1822.7273;2940.3295;1820.5839;2943.4015;1820.7822;2944.8295;1824.3349;2942.7332;1820.7548
1878980.0;2948.7403;1819.4088;2946.8124;1825.9377;2944.8193;1818.1335;2948.8817;1822.512;2947.7035;1819.0129;2947.4648;1819.9852;2942.1272;1817.4683;2944.953;1817.9405;2945.9985;1821.354;2944.3175;1817.7938
1879000.0;2950.2307;1816.7254;2948.4587;1823.3155;2946.4932;1815.3142;2950.4799;1819.7274;2949.3442;1816.2721;2949.0819;1817.3208;2944.0753;1814.4779;2946.6515;1815.2114;2947.3317;1818.4528;2946.0699;1814.9493
1879020.0;2951.8802;1814.0954;2950.2739;1820.8571;2948.3207;1812.5935;2952.2336;1817.0852;2951.132;1813.6521;2950.816;1814.7441;2946.172;1811.6372;2948.5036;1812.6069;2948.8586;1815.6564;2947.9948;1812.247
1879040.0;2953.6928;1811.5575;2952.2722;1818.5889;2950.3054;1809.9838;2954.1168;1814.5908;2953.0694;1811.1754;2952.6737;1812.2694;2948.4172;1808.9655;2950.5132;1810.1377;2950.5977;1812.9991;2950.0927;1809.7064
1879060.0;2955.6725;1809.1555;2954.4528;1816.5287;2952.4446;1807.5037;2956.1124;1812.245;2955.1489;1808.8607;2954.6599;1809.9167;2950.8088;1806.4763;2952.6763;1807.8129;2952.5532;1810.5171;2952.3567;1807.3375
1879080.0;2957.8152;1806.9306;2956.7982;1814.6836;2954.7321;1805.1791;2958.2094;1810.0469;2957.356;1806.7286;2956.7737;1807.7092;2953.3387;1804.1787;2954.9782;1805.6362;2954.7133;1808.238;2954.7711;1805.1443
1879100.0;2960.1086;1804.92;2959.2781;1813.05;2957.1589;1803.039;2960.3982;1808.002;2959.6737;1804.8025;2959.009;1805.6739;2955.9895;1802.0772;2957.3971;1803.6101;2957.0502;1806.1773;2957.3139;1803.1313
1879120.0;2962.5357;1803.154;2961.8532;1811.6122;2959.7135;1801.1105;2962.6689;1806.1275;2962.0846;1803.0997;2961.3554;1803.838;2958.7339;1800.1715;2959.9105;1801.7431;2959.524;1804.3387;2959.9625;1801.307
1879140.0;2965.0783;1801.655;2964.4811;1810.3465;2962.3796;1799.4112;2965.0129;1804.4521;2964.5717;1801.6245;2963.7995;1802.2238;2961.537;1798.4585;2962.501;1800.0576;2962.0932;1802.72;2962.6976;1799.6802
1879160.0;2967.7148;1800.4348;2967.124;1809.2307;2965.1353;1797.9479;2967.4231;1803.006;2967.1168;1800.3673;2966.3243;1800.843;2964.3627;1796.9374;2965.1554;1798.5836;2964.7238;1801.3172;2965.5024;1798.2579
1879180.0;2970.4188;1799.4941;2969.7563;1808.2587;2967.9536;1796.7199;2969.8923;1801.8109;2969.7009;1799.3124;2968.9073;1799.6975;2967.1812;1795.613;2967.8618;1797.3462;2967.3931;1800.1303;2968.3586;1797.0425
1879200.0;2973.16;1798.8236;2972.3644;1807.4438;2970.8076;1795.7265;2972.4098;1800.875;2972.3058;1798.4467;2971.5211;1798.783;2969.9743;1794.4944;2970.6063;1796.3529;2970.0834;1799.1647;2971.245;1796.0351
1879220.0;2975.9082;1798.4097;2974.9412;1806.8063;2973.6745;1794.9698;2974.9583;1800.1958;2974.9141;1797.7671;2974.1377;1798.0941;2972.7354;1793.5884;2973.3714;1795.5973;2972.7763;1798.4307;2974.1393;1795.2366
1879240.0;2978.6338;1798.2394;2977.4805;1806.3554;2976.5359;1794.4537;2977.5139;1799.7642;2977.5106;1797.2806;2976.7322;1797.6264;2975.466;1792.8961;2976.1361;1795.0664;2975.4487;1797.9381;2977.0206;1794.6481
1879260.0;2981.3059;1798.3032;2979.9737;1806.0799;2979.3756;1794.179;2980.049;1799.5662;2980.0804;1797.0001;2979.2837;1797.3797;2978.1689;1792.4117;2978.8774;1794.7491;2978.0751;1797.6914;2979.8699;1794.2698
1879280.0;2983.8937;1798.593;2982.4092;1805.9567;2982.1779;1794.1414;2982.5389;1799.5846;2982.6067;1796.9369;2981.7748;1797.3562;2980.8441;1792.1283;2981.5725;1794.6365;2980.6311;1797.6854;2982.6683;1794.1026
1879300.0;2986.3718;1799.0986;2984.7735;1805.9651;2984.9266;1794.3313;2984.9648;1799.8029;2985.0693;1797.0968;2984.191;1797.556;2983.4865;1792.0411;2984.1996;1794.7222;2983.0961;1797.9073;2985.3958;1794.1479
1879320.0;2988.7237;1799.8047;2987.0525;1806.0964;2987.6065;1794.7358;2987.3146;1800.206;2987.4472;1797.4777;2986.5219;1797.972;2986.0887;1792.1495;2986.7406;1795.0023;2985.454;1798.3401;2988.0312;1794.4069
