Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
1468200.0;2980.7332;1946.2331;2994.2111;1832.4281;3008.2105;1836.0328;2982.3507;1852.0171;2994.9046;1837.8205;2992.967;1859.4506;2996.0948;1845.4902
1468220.0;2980.6911;1946.4659;2994.2156;1832.8108;3008.3422;1835.8595;2982.0139;1852.3963;2994.7712;1837.821;2992.9372;1859.48;2996.341;1845.2725
1468240.0;2980.6255;1946.7107;2994.1079;1833.8466;3008.4733;1835.6883;2981.6803;1852.7909;2994.6581;1837.8429;2992.8968;1859.5243;2996.5855;1845.1057
1468260.0;2980.5279;1946.9139;2993.9478;1835.2941;3008.6118;1835.5131;2981.3591;1853.2135;2994.5559;1837.8834;2992.844;1859.5866;2996.8048;1845.0184
1468280.0;2980.3978;1946.9989;2993.803;1836.8911;3008.7593;1835.3304;2981.0617;1853.6675;2994.4559;1837.9397;2992.7909;1859.665;2996.9747;1845.028
1468300.0;2980.2479;1946.8973;2993.7027;1838.4418;3008.9133;1835.1381;2980.7948;1854.133;2994.35;1838.0121;2992.7593;1859.7428;2997.0881;1845.1209
1468320.0;2980.0976;1946.585;2993.6149;1839.8335;3009.0705;1834.9358;2980.5497;1854.5714;2994.2324;1838.1039;2992.7637;1859.7914;2997.1627;1845.2513
1468340.0;2979.9607;1946.0972;2993.4793;1840.9954;3009.2279;1834.7278;2980.3043;1854.9547;2994.1018;1838.2197;2992.7989;1859.7861;2997.2279;1845.3647
1468360.0;2979.8418;1945.5116;2993.278;1841.8685;3009.3817;1834.5257;2980.039;1855.2859;2993.9633;1838.3593;2992.8443;1859.7247;2997.3051;1845.4277
1468380.0;2979.7378;1944.9198;2993.0619;1842.4271;3009.5267;1834.3422;2979.7547;1855.5803;2993.8268;1838.5147;2992.8822;1859.6284;2997.3953;1845.4387
1468400.0;2979.6422;1944.397;2992.9095;1842.7022;3009.6596;1834.1814;2979.4753;1855.8352;2993.7018;1838.6716;2992.9101;1859.5219;2997.4855;1845.4166
1468420.0;2979.5436;1943.9903;2992.8528;1842.7992;3009.783;1834.0338;2979.2368;1856.0299;2993.5901;1838.8164;2992.942;1859.4105;2997.5586;1845.3831
1468440.0;2979.4297;1943.7185;2992.8452;1842.8309;3009.9041;1833.8818;2979.0741;1856.1484;2993.4843;1838.9442;2992.996;1859.2796;2997.6041;1845.3532
1468460.0;2979.3012;1943.5691;2992.8043;1842.8376;3010.0334;1833.7082;2979.0175;1856.1882;2993.3735;1839.0579;2993.0851;1859.1122;2997.6214;1845.3363
1468480.0;2979.1804;1943.4939;2992.676;1842.742;3010.1796;1833.5022;2979.0923;1856.1524;2993.2515;1839.1612;2993.2133;1858.9063;2997.619;1845.3404
1468500.0;2979.1019;1943.4182;2992.4652;1842.4032;3010.3531;1833.2517;2979.3217;1856.0331;2993.1174;1839.2517;2993.3822;1858.6768;2997.6093;1845.3701
1468520.0;2979.0907;1943.2643;2992.2185;1841.7518;3010.5706;1832.9349;2979.7195;1855.8155;2992.9703;1839.3239;2993.5995;1858.4381;2997.6006;1845.4234
1468540.0;2979.1501;1942.9737;2991.9893;1840.8999;3010.8494;1832.5282;2980.2733;1855.4945;2992.8087;1839.3736;2993.8766;1858.1868;2997.591;1845.4914
1468560.0;2979.2693;1942.5131;2991.8099;1840.1906;3011.1903;1832.0286;2980.9365;1855.0854;2992.6314;1839.3999;2994.2102;1857.91;2997.5676;1845.5625
1468580.0;2979.4376;1941.8707;2991.6857;1840.1742;3011.5653;1831.4713;2981.6433;1854.6233;2992.4426;1839.4042;2994.5683;1857.6064;2997.5155;1845.6293
