Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
5396840.0;2988.4854;1860.7867;2992.7814;1848.3982;2992.1475;1853.9487;2991.1874;1846.5729;2990.9956;1849.7347;3006.1001;1844.7189;2986.1546;1855.057;2993.2621;1842.5123;2993.6705;1853.1124
5396860.0;2988.3561;1860.8974;2992.7098;1848.4048;2992.1955;1853.9462;2991.1693;1846.5814;2991.0192;1849.6923;3005.3513;1844.4305;2986.108;1855.0903;2993.2807;1842.4523;2993.5228;1853.2895
5396880.0;2988.2324;1861.0114;2992.6531;1848.3807;2992.2549;1853.9249;2991.1626;1846.5845;2991.0447;1849.6877;3004.6379;1844.2383;2986.0648;1855.1197;2993.3023;1842.379;2993.4263;1853.374
5396900.0;2988.1295;1861.1092;2992.6037;1848.3398;2992.3238;1853.876;2991.171;1846.5768;2991.0711;1849.7176;3004.0138;1844.1343;2986.0227;1855.1399;2993.321;1842.3077;2993.3763;1853.3863
5396920.0;2988.0555;1861.1759;2992.5535;1848.3013;2992.3954;1853.7995;2991.1934;1846.5628;2991.0945;1849.7741;3003.5035;1844.0915;2985.9811;1855.1507;2993.3228;1842.2553;2993.3495;1853.3661
5396940.0;2988.004;1861.2114;2992.4996;1848.2786;2992.4572;1853.7086;2991.2269;1846.5535;2991.1123;1849.8465;3003.1051;1844.0878;2985.9417;1855.1552;2993.2892;1842.2317;2993.3267;1853.343
5396960.0;2987.9593;1861.2283;2992.4463;1848.2728;2992.4936;1853.6255;2991.2719;1846.5532;2991.1264;1849.9238;3002.7969;1844.1167;2985.9077;1855.1567;2993.2063;1842.2366;2993.3028;1853.3264
5396980.0;2987.909;1861.2404;2992.4016;1848.2777;2992.4936;1853.5691;2991.3322;1846.5517;2991.1392;1849.9963;3002.5494;1844.1795;2985.8819;1855.157;2993.0777;1842.2625;2993.2818;1853.3113
5397000.0;2987.8515;1861.2535;2992.3711;1848.2889;2992.4562;1853.5476;2991.4149;1846.521;2991.1507;1850.0535;3002.3396;1844.2741;2985.8655;1855.157;2992.9305;1842.2979;2993.2666;1853.2901
5397020.0;2987.7911;1861.2682;2992.3556;1848.3084;2992.391;1853.5571;2991.5272;1846.4239;2991.1574;1850.0866;3002.1535;1844.3923;2985.857;1855.157;2992.8028;1842.3319;2993.2574;1853.255
5397040.0;2987.73;1861.2866;2992.3506;1848.3402;2992.3112;1853.5867;2991.674;1846.2321;2991.1557;1850.0915;3001.9819;1844.5246;2985.8536;1855.157;2992.7199;1842.3598;2993.2506;1853.2003
