Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m)
1779460.0;9092.6701;14023.8241;9088.1986;14026.2222;9093.6877;14021.8083;9091.6193;14023.5364;9083.593;14043.3162;9093.5482;14021.6343;9091.0597;14023.794;9094.4369;14021.8829;9094.1253;14021.3869;9091.8007;14023.0277
1779480.0;9092.6701;14023.8516;9088.2262;14026.2098;9093.6856;14021.7767;9091.5835;14023.481;9083.6143;14043.3771;9093.548;14021.6593;9091.0783;14023.7938;9094.4296;14021.9105;9094.1002;14021.3853;9091.795;14023.0177
1779500.0;9092.6701;14023.886;9088.2458;14026.2052;9093.7122;14021.7259;9091.5418;14023.4101;9083.6566;14043.4322;9093.5469;14021.6813;9091.102;14023.7936;9094.4264;14021.9277;9094.0779;14021.3848;9091.7927;14022.9923
1779520.0;9092.6699;14023.9192;9088.252;14026.2056;9093.7596;14021.6688;9091.5017;14023.3307;9083.7188;14043.4708;9093.5435;14021.6994;9091.1263;14023.7926;9094.4235;14021.9362;9094.0616;14021.3848;9091.792;14022.9552
1779540.0;9092.6692;14023.9418;9088.2413;14026.2118;9093.8194;14021.6189;9091.4715;14023.2521;9083.7881;14043.4869;9093.5353;14021.7153;9091.1469;14023.7896;9094.4176;14021.9395;9094.05;14021.3848;9091.7919;14022.912
1779560.0;9092.667;14023.9474;9088.2133;14026.2292;9093.884;14021.5805;9091.4565;14023.1846;9083.8447;14043.4828;9093.5199;14021.7289;9091.1632;14023.7828;9094.4056;14021.941;9094.0385;14021.3848;9091.7919;14022.8668
1779580.0;9092.6612;14023.9351;9088.1708;14026.2649;9093.9438;14021.5483;9091.4552;14023.1381;9083.8754;14043.465;9093.4964;14021.7364;9091.1773;14023.7705;9094.3859;14021.9428;9094.0222;14021.3848;9091.7919;14022.82
1779600.0;9092.6496;14023.9107;9088.119;14026.3234;9093.9871;14021.5158;9091.4596;14023.1203;9083.8797;14043.4417;9093.4666;14021.7338;9091.19;14023.755;9094.3589;14021.9478;9093.9998;14021.3848;9091.7919;14022.7701
1779620.0;9092.6306;14023.8868;9088.0647;14026.3996;9094.0088;14021.4824;9091.4587;14023.1337;9083.8656;14043.4213;9093.4315;14021.7218;9091.1991;14023.7426;9094.3269;14021.9602;9093.9748;14021.3848;9091.7919;14022.7149
1779640.0;9092.606;14023.8772;9088.0157;14026.4785;9094.0155;14021.4557;9091.445;14023.1765;9083.8423;14043.4086;9093.3885;14021.7094;9091.2009;14023.7404;9094.292;14021.9843;9093.9532;14021.3848;9091.7919;14022.6519
