Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2024400.0;6583.8755;16005.8744;6583.1296;16003.7378;6583.0389;16005.0181;6584.9037;16007.7753;6581.7198;16006.2282;6584.1914;16005.8364;6584.1751;16003.076;6586.3133;16004.231;6585.1433;16003.7774
2024420.0;6583.5833;16003.6107;6582.8863;16001.554;6582.7616;16002.8256;6584.6169;16005.4036;6581.4746;16004.0904;6583.8849;16003.4789;6584.0473;16000.7462;6586.0957;16002.4183;6584.8601;16001.6192
2024440.0;6583.1989;16001.3729;6582.5405;15999.3745;6582.3786;16000.6322;6584.2073;16003.055;6581.0844;16001.9724;6583.4473;16001.1274;6583.796;15998.4531;6585.8096;16000.3722;6584.4775;15999.4603
2024460.0;6582.7351;15999.1593;6582.1137;15997.2089;6581.9262;15998.4492;6583.7015;16000.7331;6580.5818;15999.8746;6582.9249;15998.7887;6583.441;15996.1987;6585.4482;15998.1657;6584.0231;15997.2926
2024480.0;6582.1978;15996.968;6581.6193;15995.0596;6581.4264;15996.2822;6583.1179;15998.4397;6579.9981;15997.7931;6582.3522;15996.4724;6583.0007;15993.9801;6585.0069;15995.8871;6583.5236;15995.1143
2024500.0;6581.5862;15994.7956;6581.0627;15992.9261;6580.8867;15994.1306;6582.4688;15996.1702;6579.3595;15995.7271;6581.7463;15994.1868;6582.4878;15991.795;6584.4817;15993.5917;6583.0005;15992.9361
2024520.0;6580.8969;15992.6352;6580.4422;15990.8107;6580.3022;15991.9903;6581.7622;15993.9148;6578.6846;15993.6798;6581.1082;15991.9356;6581.9062;15989.6422;6583.874;15991.3096;6582.4638;15990.7748
2024540.0;6580.1264;15990.4774;6579.7496;15988.7204;6579.6625;15989.8569;6581.0034;15991.6663;6577.9799;15991.655;6580.4278;15989.718;6581.2543;15987.5176;6583.1905;15989.0485;6581.9122;15988.64
2024560.0;6579.2758;15988.3154;6578.9751;15986.6644;6578.9583;15987.7286;6580.194;15989.4266;6577.2406;15989.6541;6579.6928;15987.5331;6580.533;15985.4119;6582.4399;15986.8029;6581.3361;15986.528
2024580.0;6578.3519;15986.1488;6578.113;15984.6481;6578.185;15985.6079;6579.3325;15987.2048;6576.4527;15987.6796;6578.8926;15985.3804;6579.7513;15983.3122;6581.6292;15984.5668;6580.7246;15984.4265
2024600.0;6577.3668;15983.9838;6577.1636;15982.6704;6577.3419;15983.5014;6578.4142;15985.0096;6575.6009;15985.7379;6578.0203;15983.2568;6578.9246;15981.2078;6580.7637;15982.344;6580.0693;15982.3243
2024620.0;6576.3338;15981.8286;6576.1325;15980.7264;6576.4294;15981.4181;6577.4339;15982.8427;6574.6757;15983.8354;6577.0734;15981.1549;6578.0695;15979.0938;6579.8483;15980.1471;6579.3645;15980.2187
2024640.0;6575.2645;15979.6889;6575.0288;15978.8108;6575.4473;15979.3665;6576.3868;15980.7007;6573.6791;15981.9715;6576.0539;15979.0658;6577.198;15976.9715;6578.8877;15977.9886;6578.6056;15978.1134
2024660.0;6574.1679;15977.5668;6573.8651;15976.9187;6574.3965;15977.352;6575.2717;15978.5819;6572.6219;15980.1353;6574.9678;15976.9854;6576.3156;15974.8449;6577.8884;15975.8739;6577.7887;15976.0133
